#id,x,y,z,u,v,w
0,-64.0000000000,0.00000000000,0.00000000000,0.,16.0,0.
1,-48.0000000000,0.00000000000,0.00000000000,0.,0.0,0.
2,-63.7500000000,0.00000000000,0.00000000000,0.,15.75,0.
3,-63.5000000000,0.00000000000,0.00000000000,0.,15.5,0.
4,-63.2500000000,0.00000000000,0.00000000000,0.,15.25,0.
5,-63.0000000000,0.00000000000,0.00000000000,0.,15.0,0.
6,-62.7500000000,0.00000000000,0.00000000000,0.,14.75,0.
7,-62.5000000000,0.00000000000,0.00000000000,0.,14.5,0.
8,-62.2500000000,0.00000000000,0.00000000000,0.,14.25,0.
9,-62.0000000000,0.00000000000,0.00000000000,0.,14.0,0.
10,-61.7500000000,0.00000000000,0.00000000000,0.,13.75,0.
11,-61.5000000000,0.00000000000,0.00000000000,0.,13.5,0.
12,-61.2500000000,0.00000000000,0.00000000000,0.,13.25,0.
13,-61.0000000000,0.00000000000,0.00000000000,0.,13.0,0.
14,-60.7500000000,0.00000000000,0.00000000000,0.,12.75,0.
15,-60.5000000000,0.00000000000,0.00000000000,0.,12.5,0.
16,-60.2500000000,0.00000000000,0.00000000000,0.,12.25,0.
17,-60.0000000000,0.00000000000,0.00000000000,0.,12.0,0.
18,-59.7500000000,0.00000000000,0.00000000000,0.,11.75,0.
19,-59.5000000000,0.00000000000,0.00000000000,0.,11.5,0.
20,-59.2500000000,0.00000000000,0.00000000000,0.,11.25,0.
21,-59.0000000000,0.00000000000,0.00000000000,0.,11.0,0.
22,-58.7500000000,0.00000000000,0.00000000000,0.,10.75,0.
23,-58.5000000000,0.00000000000,0.00000000000,0.,10.5,0.
24,-58.2500000000,0.00000000000,0.00000000000,0.,10.25,0.
25,-58.0000000000,0.00000000000,0.00000000000,0.,10.0,0.
26,-57.7500000000,0.00000000000,0.00000000000,0.,9.75,0.
27,-57.5000000000,0.00000000000,0.00000000000,0.,9.5,0.
28,-57.2500000000,0.00000000000,0.00000000000,0.,9.25,0.
29,-57.0000000000,0.00000000000,0.00000000000,0.,9.0,0.
30,-56.7500000000,0.00000000000,0.00000000000,0.,8.75,0.
31,-56.5000000000,0.00000000000,0.00000000000,0.,8.5,0.
32,-56.2500000000,0.00000000000,0.00000000000,0.,8.25,0.
33,-56.0000000000,0.00000000000,0.00000000000,0.,8.0,0.
34,-55.7500000000,0.00000000000,0.00000000000,0.,7.75,0.
35,-55.5000000000,0.00000000000,0.00000000000,0.,7.5,0.
36,-55.2500000000,0.00000000000,0.00000000000,0.,7.25,0.
37,-55.0000000000,0.00000000000,0.00000000000,0.,7.0,0.
38,-54.7500000000,0.00000000000,0.00000000000,0.,6.75,0.
39,-54.5000000000,0.00000000000,0.00000000000,0.,6.5,0.
40,-54.2500000000,0.00000000000,0.00000000000,0.,6.25,0.
41,-54.0000000000,0.00000000000,0.00000000000,0.,6.0,0.
42,-53.7500000000,0.00000000000,0.00000000000,0.,5.75,0.
43,-53.5000000000,0.00000000000,0.00000000000,0.,5.5,0.
44,-53.2500000000,0.00000000000,0.00000000000,0.,5.25,0.
45,-53.0000000000,0.00000000000,0.00000000000,0.,5.0,0.
46,-52.7500000000,0.00000000000,0.00000000000,0.,4.75,0.
47,-52.5000000000,0.00000000000,0.00000000000,0.,4.5,0.
48,-52.2500000000,0.00000000000,0.00000000000,0.,4.25,0.
49,-52.0000000000,0.00000000000,0.00000000000,0.,4.0,0.
50,-51.7500000000,0.00000000000,0.00000000000,0.,3.75,0.
51,-51.5000000000,0.00000000000,0.00000000000,0.,3.5,0.
52,-51.2500000000,0.00000000000,0.00000000000,0.,3.25,0.
53,-51.0000000000,0.00000000000,0.00000000000,0.,3.0,0.
54,-50.7500000000,0.00000000000,0.00000000000,0.,2.75,0.
