#id,x,y,z,u,v,w
0,-61.0,2.2,0,-2.4611098429184334e-07,0.,0.
1,-61.0,2.45,0,-3.4672242273040225e-07,0.,0.
2,-61.0,2.7,0,-4.852978464215697e-07,0.,0.
3,-61.0,2.95,0,-6.74854741666517e-07,0.,0.
4,-61.0,3.2,0,-9.323688326143585e-07,0.,0.
5,-61.0,3.45,0,-1.2797958434322785e-06,0.,0.
6,-61.0,3.7,0,-1.7452962171177473e-06,0.,0.
7,-61.0,3.95,0,-2.3646839494669897e-06,0.,0.
8,-61.0,4.2,0,-3.183116720623271e-06,0.,0.
9,-61.0,4.45,0,-4.257038014981004e-06,0.,0.
10,-61.0,4.7,0,-5.656372433465113e-06,0.,0.
11,-61.0,4.95,0,-7.46696249307101e-06,0.,0.
12,-61.0,5.2,0,-9.79321855601252e-06,0.,0.
13,-61.0,5.45,0,-1.2760932983515645e-05,0.,0.
14,-61.0,5.7,0,-1.6520185255509834e-05,0.,0.
15,-61.0,5.95,0,-2.124823703721348e-05,0.,0.
16,-61.0,6.2,0,-2.715228578643219e-05,0.,0.
17,-61.0,6.45,0,-3.447191369609666e-05,0.,0.
18,-61.0,6.7,0,-4.348103723971703e-05,0.,0.
19,-61.0,6.95,0,-5.4489133490826757e-05,0.,0.
20,-61.0,7.2,0,-6.78414953151483e-05,0.,0.
21,-61.0,7.45,0,-8.391825143066827e-05,0.,0.
22,-61.0,7.7,0,-0.00010313188235119371,0.,0.
23,-61.0,7.95,0,-0.00012592297254337655,0.,0.
24,-61.0,8.2,0,-0.00015275396567298162,0.,0.
25,-61.0,8.45,0,-0.00018410073600806957,0.,0.
26,-61.0,8.7,0,-0.0002204418564614466,0.,0.
27,-61.0,8.95,0,-0.0002622455328130205,0.,0.
28,-61.0,9.2,0,-0.0003099542833283073,0.,0.
29,-61.0,9.45,0,-0.0003639675705769117,0.,0.
30,-61.0,9.7,0,-0.0004246227332314994,0.,0.
31,-61.0,9.95,0,-0.0004921747136402469,0.,0.
32,-61.0,10.2,0,-0.0005667752239691681,0.,0.
