#id;x;y;vol
0;0.500;-12.000;1.000
1;0.500;-11.000;1.000
2;0.500;-10.000;1.000
3;0.500;-9.000;1.000
4;0.500;-8.000;1.000
5;0.500;-7.000;1.000
6;0.500;-6.000;1.000
7;0.500;-5.000;1.000
8;0.500;-4.000;1.000
9;0.500;-3.000;1.000
10;0.500;-2.000;1.000
11;0.500;-1.000;1.000
12;0.500;0.000;1.000
13;0.500;1.000;1.000
14;0.500;2.000;1.000
15;0.500;3.000;1.000
16;0.500;4.000;1.000
17;0.500;5.000;1.000
18;0.500;6.000;1.000
19;0.500;7.000;1.000
20;0.500;8.000;1.000
21;0.500;9.000;1.000
22;0.500;10.000;1.000
23;0.500;11.000;1.000
24;0.500;12.000;1.000
25;1.500;-12.000;1.000
26;1.500;-11.000;1.000
27;1.500;-10.000;1.000
28;1.500;-9.000;1.000
29;1.500;-8.000;1.000
30;1.500;-7.000;1.000
31;1.500;-6.000;1.000
32;1.500;-5.000;1.000
33;1.500;-4.000;1.000
34;1.500;-3.000;1.000
35;1.500;-2.000;1.000
36;1.500;-1.000;1.000
37;1.500;0.000;1.000
38;1.500;1.000;1.000
39;1.500;2.000;1.000
40;1.500;3.000;1.000
41;1.500;4.000;1.000
42;1.500;5.000;1.000
43;1.500;6.000;1.000
44;1.500;7.000;1.000
45;1.500;8.000;1.000
46;1.500;9.000;1.000
47;1.500;10.000;1.000
48;1.500;11.000;1.000
49;1.500;12.000;1.000
50;2.500;-12.000;1.000
51;2.500;-11.000;1.000
52;2.500;-10.000;1.000
53;2.500;-9.000;1.000
54;2.500;-8.000;1.000
55;2.500;-7.000;1.000
56;2.500;-6.000;1.000
57;2.500;-5.000;1.000
58;2.500;-4.000;1.000
59;2.500;-3.000;1.000
60;2.500;-2.000;1.000
61;2.500;-1.000;1.000
62;2.500;0.000;1.000
63;2.500;1.000;1.000
64;2.500;2.000;1.000
65;2.500;3.000;1.000
66;2.500;4.000;1.000
67;2.500;5.000;1.000
68;2.500;6.000;1.000
69;2.500;7.000;1.000
70;2.500;8.000;1.000
71;2.500;9.000;1.000
72;2.500;10.000;1.000
73;2.500;11.000;1.000
74;2.500;12.000;1.000
75;3.500;-12.000;1.000
76;3.500;-11.000;1.000
77;3.500;-10.000;1.000
78;3.500;-9.000;1.000
79;3.500;-8.000;1.000
80;3.500;-7.000;1.000
81;3.500;-6.000;1.000
82;3.500;-5.000;1.000
83;3.500;-4.000;1.000
84;3.500;-3.000;1.000
85;3.500;-2.000;1.000
86;3.500;-1.000;1.000
87;3.500;0.000;1.000
88;3.500;1.000;1.000
89;3.500;2.000;1.000
90;3.500;3.000;1.000
91;3.500;4.000;1.000
92;3.500;5.000;1.000
93;3.500;6.000;1.000
94;3.500;7.000;1.000
95;3.500;8.000;1.000
96;3.500;9.000;1.000
97;3.500;10.000;1.000
