x;y;z;u;v;w;X;Y;Z;Sigma_11;Sigma_22;Sigma_12;Epsilon_11;Epsilon_22;Gamma_12;Strain Energy CCM
0.500;-12.000;0.000;0.323;-1.439;0.000;0.823;-13.439;0.000;-0.230400;0.000000;0.235200;-0.000058;0.000017;0.000153;0.000025
0.500;-11.000;0.000;0.296;-1.439;0.000;0.796;-12.439;0.000;-0.211200;0.000000;0.676800;-0.000053;0.000016;0.000440;0.000154
0.500;-10.000;0.000;0.268;-1.439;0.000;0.768;-11.439;0.000;-0.192000;0.000000;1.080000;-0.000048;0.000014;0.000702;0.000384
0.500;-9.000;0.000;0.240;-1.439;0.000;0.740;-10.439;0.000;-0.172800;0.000000;1.444800;-0.000043;0.000013;0.000939;0.000682
0.500;-8.000;0.000;0.213;-1.439;0.000;0.713;-9.439;0.000;-0.153600;0.000000;1.771200;-0.000038;0.000012;0.001151;0.001023
0.500;-7.000;0.000;0.186;-1.439;0.000;0.686;-8.439;0.000;-0.134400;0.000000;2.059200;-0.000034;0.000010;0.001338;0.001380
0.500;-6.000;0.000;0.159;-1.439;0.000;0.659;-7.439;0.000;-0.115200;0.000000;2.308800;-0.000029;0.000009;0.001501;0.001734
0.500;-5.000;0.000;0.133;-1.439;0.000;0.633;-6.439;0.000;-0.096000;0.000000;2.520000;-0.000024;0.000007;0.001638;0.002065
0.500;-4.000;0.000;0.106;-1.439;0.000;0.606;-5.439;0.000;-0.076800;0.000000;2.692800;-0.000019;0.000006;0.001750;0.002357
0.500;-3.000;0.000;0.079;-1.439;0.000;0.579;-4.439;0.000;-0.057600;0.000000;2.827200;-0.000014;0.000004;0.001838;0.002598
0.500;-2.000;0.000;0.053;-1.439;0.000;0.553;-3.439;0.000;-0.038400;0.000000;2.923200;-0.000010;0.000003;0.001900;0.002777
0.500;-1.000;0.000;0.026;-1.439;0.000;0.526;-2.439;0.000;-0.019200;0.000000;2.980800;-0.000005;0.000001;0.001938;0.002888
0.500;0.000;0.000;0.000;-1.439;0.000;0.500;-1.439;0.000;0.000000;0.000000;3.000000;0.000000;0.000000;0.001950;0.002925
0.500;1.000;0.000;-0.026;-1.439;0.000;0.474;-0.439;0.000;0.019200;0.000000;2.980800;0.000005;-0.000001;0.001938;0.002888
0.500;2.000;0.000;-0.053;-1.439;0.000;0.447;0.561;0.000;0.038400;0.000000;2.923200;0.000010;-0.000003;0.001900;0.002777
0.500;3.000;0.000;-0.079;-1.439;0.000;0.421;1.561;0.000;0.057600;0.000000;2.827200;0.000014;-0.000004;0.001838;0.002598
0.500;4.000;0.000;-0.106;-1.439;0.000;0.394;2.561;0.000;0.076800;0.000000;2.692800;0.000019;-0.000006;0.001750;0.002357
0.500;5.000;0.000;-0.133;-1.439;0.000;0.367;3.561;0.000;0.096000;0.000000;2.520000;0.000024;-0.000007;0.001638;0.002065
0.500;6.000;0.000;-0.159;-1.439;0.000;0.341;4.561;0.000;0.115200;0.000000;2.308800;0.000029;-0.000009;0.001501;0.001734
0.500;7.000;0.000;-0.186;-1.439;0.000;0.314;5.561;0.000;0.134400;0.000000;2.059200;0.000034;-0.000010;0.001338;0.001380
0.500;8.000;0.000;-0.213;-1.439;0.000;0.287;6.561;0.000;0.153600;0.000000;1.771200;0.000038;-0.000012;0.001151;0.001023
0.500;9.000;0.000;-0.240;-1.439;0.000;0.260;7.561;0.000;0.172800;0.000000;1.444800;0.000043;-0.000013;0.000939;0.000682
0.500;10.000;0.000;-0.268;-1.439;0.000;0.232;8.561;0.000;0.192000;0.000000;1.080000;0.000048;-0.000014;0.000702;0.000384
0.500;11.000;0.000;-0.296;-1.439;0.000;0.204;9.561;0.000;0.211200;0.000000;0.676800;0.000053;-0.000016;0.000440;0.000154
0.500;12.000;0.000;-0.323;-1.439;0.000;0.177;10.561;0.000;0.230400;0.000000;0.235200;0.000058;-0.000017;0.000153;0.000025
1.500;-12.000;0.000;0.323;-1.411;0.000;1.823;-13.411;0.000;-0.691200;0.000000;0.235200;-0.000173;0.000052;0.000153;0.000078
1.500;-11.000;0.000;0.295;-1.411;0.000;1.795;-12.411;0.000;-0.633600;0.000000;0.676800;-0.000158;0.000048;0.000440;0.000199
1.500;-10.000;0.000;0.268;-1.411;0.000;1.768;-11.411;0.000;-0.576000;0.000000;1.080000;-0.000144;0.000043;0.000702;0.000421
1.500;-9.000;0.000;0.240;-1.411;0.000;1.740;-10.411;0.000;-0.518400;0.000000;1.444800;-0.000130;0.000039;0.000939;0.000712
1.500;-8.000;0.000;0.213;-1.411;0.000;1.713;-9.411;0.000;-0.460800;0.000000;1.771200;-0.000115;0.000035;0.001151;0.001046
