x,y,z,u,v,z,0.,0.,0.,0.,0.,0.
0.500,-12.000,0.000,6.469,-28.781,0.000,0.,0.,0.,0.,0.,0.
0.500,-11.000,0.000,5.911,-28.780,0.000,0.,0.,0.,0.,0.,0.
0.500,-10.000,0.000,5.358,-28.780,0.000,0.,0.,0.,0.,0.,0.
0.500,-9.000,0.000,4.810,-28.780,0.000,0.,0.,0.,0.,0.,0.
0.500,-8.000,0.000,4.265,-28.780,0.000,0.,0.,0.,0.,0.,0.
0.500,-7.000,0.000,3.725,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,-6.000,0.000,3.187,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,-5.000,0.000,2.652,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,-4.000,0.000,2.119,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,-3.000,0.000,1.587,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,-2.000,0.000,1.058,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,-1.000,0.000,0.529,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,0.000,0.000,0.000,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,1.000,0.000,-0.529,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,2.000,0.000,-1.058,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,3.000,0.000,-1.587,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,4.000,0.000,-2.119,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,5.000,0.000,-2.652,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,6.000,0.000,-3.187,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,7.000,0.000,-3.725,-28.779,0.000,0.,0.,0.,0.,0.,0.
0.500,8.000,0.000,-4.265,-28.780,0.000,0.,0.,0.,0.,0.,0.
0.500,9.000,0.000,-4.810,-28.780,0.000,0.,0.,0.,0.,0.,0.
0.500,10.000,0.000,-5.358,-28.780,0.000,0.,0.,0.,0.,0.,0.
0.500,11.000,0.000,-5.911,-28.780,0.000,0.,0.,0.,0.,0.,0.
0.500,12.000,0.000,-6.469,-28.781,0.000,0.,0.,0.,0.,0.,0.
1.500,-12.000,0.000,6.467,-28.218,0.000,0.,0.,0.,0.,0.,0.
1.500,-11.000,0.000,5.909,-28.217,0.000,0.,0.,0.,0.,0.,0.
1.500,-10.000,0.000,5.356,-28.216,0.000,0.,0.,0.,0.,0.,0.
1.500,-9.000,0.000,4.808,-28.215,0.000,0.,0.,0.,0.,0.,0.
1.500,-8.000,0.000,4.264,-28.214,0.000,0.,0.,0.,0.,0.,0.
1.500,-7.000,0.000,3.723,-28.213,0.000,0.,0.,0.,0.,0.,0.
1.500,-6.000,0.000,3.186,-28.213,0.000,0.,0.,0.,0.,0.,0.
1.500,-5.000,0.000,2.651,-28.212,0.000,0.,0.,0.,0.,0.,0.
1.500,-4.000,0.000,2.118,-28.212,0.000,0.,0.,0.,0.,0.,0.
1.500,-3.000,0.000,1.587,-28.212,0.000,0.,0.,0.,0.,0.,0.
1.500,-2.000,0.000,1.057,-28.212,0.000,0.,0.,0.,0.,0.,0.
1.500,-1.000,0.000,0.528,-28.211,0.000,0.,0.,0.,0.,0.,0.
1.500,0.000,0.000,0.000,-28.211,0.000,0.,0.,0.,0.,0.,0.
1.500,1.000,0.000,-0.528,-28.211,0.000,0.,0.,0.,0.,0.,0.
1.500,2.000,0.000,-1.057,-28.212,0.000,0.,0.,0.,0.,0.,0.
1.500,3.000,0.000,-1.587,-28.212,0.000,0.,0.,0.,0.,0.,0.
1.500,4.000,0.000,-2.118,-28.212,0.000,0.,0.,0.,0.,0.,0.
1.500,5.000,0.000,-2.651,-28.212,0.000,0.,0.,0.,0.,0.,0.
1.500,6.000,0.000,-3.186,-28.213,0.000,0.,0.,0.,0.,0.,0.
1.500,7.000,0.000,-3.723,-28.213,0.000,0.,0.,0.,0.,0.,0.
1.500,8.000,0.000,-4.264,-28.214,0.000,0.,0.,0.,0.,0.,0.
1.500,9.000,0.000,-4.808,-28.215,0.000,0.,0.,0.,0.,0.,0.
1.500,10.000,0.000,-5.356,-28.216,0.000,0.,0.,0.,0.,0.,0.
1.500,11.000,0.000,-5.909,-28.217,0.000,0.,0.,0.,0.,0.,0.
1.500,12.000,0.000,-6.467,-28.218,0.000,0.,0.,0.,0.,0.,0.
2.500,-12.000,0.000,6.462,-27.655,0.000,0.,0.,0.,0.,0.,0.
2.500,-11.000,0.000,5.905,-27.653,0.000,0.,0.,0.,0.,0.,0.
2.500,-10.000,0.000,5.353,-27.651,0.000,0.,0.,0.,0.,0.,0.
2.500,-9.000,0.000,4.805,-27.650,0.000,0.,0.,0.,0.,0.,0.
2.500,-8.000,0.000,4.261,-27.649,0.000,0.,0.,0.,0.,0.,0.
2.500,-7.000,0.000,3.721,-27.648,0.000,0.,0.,0.,0.,0.,0.
2.500,-6.000,0.000,3.183,-27.647,0.000,0.,0.,0.,0.,0.,0.
2.500,-5.000,0.000,2.649,-27.646,0.000,0.,0.,0.,0.,0.,0.
2.500,-4.000,0.000,2.116,-27.645,0.000,0.,0.,0.,0.,0.,0.
2.500,-3.000,0.000,1.586,-27.645,0.000,0.,0.,0.,0.,0.,0.
2.500,-2.000,0.000,1.056,-27.645,0.000,0.,0.,0.,0.,0.,0.
2.500,-1.000,0.000,0.528,-27.644,0.000,0.,0.,0.,0.,0.,0.
2.500,0.000,0.000,0.000,-27.644,0.000,0.,0.,0.,0.,0.,0.
2.500,1.000,0.000,-0.528,-27.644,0.000,0.,0.,0.,0.,0.,0.
2.500,2.000,0.000,-1.056,-27.645,0.000,0.,0.,0.,0.,0.,0.
2.500,3.000,0.000,-1.586,-27.645,0.000,0.,0.,0.,0.,0.,0.
2.500,4.000,0.000,-2.116,-27.645,0.000,0.,0.,0.,0.,0.,0.
2.500,5.000,0.000,-2.649,-27.646,0.000,0.,0.,0.,0.,0.,0.
2.500,6.000,0.000,-3.183,-27.647,0.000,0.,0.,0.,0.,0.,0.
2.500,7.000,0.000,-3.721,-27.648,0.000,0.,0.,0.,0.,0.,0.
2.500,8.000,0.000,-4.261,-27.649,0.000,0.,0.,0.,0.,0.,0.
2.500,9.000,0.000,-4.805,-27.650,0.000,0.,0.,0.,0.,0.,0.
2.500,10.000,0.000,-5.353,-27.651,0.000,0.,0.,0.,0.,0.,0.
2.500,11.000,0.000,-5.905,-27.653,0.000,0.,0.,0.,0.,0.,0.
2.500,12.000,0.000,-6.462,-27.655,0.000,0.,0.,0.,0.,0.,0.
3.500,-12.000,0.000,6.455,-27.092,0.000,0.,0.,0.,0.,0.,0.
3.500,-11.000,0.000,5.899,-27.090,0.000,0.,0.,0.,0.,0.,0.
3.500,-10.000,0.000,5.347,-27.088,0.000,0.,0.,0.,0.,0.,0.
3.500,-9.000,0.000,4.800,-27.086,0.000,0.,0.,0.,0.,0.,0.
3.500,-8.000,0.000,4.256,-27.084,0.000,0.,0.,0.,0.,0.,0.
3.500,-7.000,0.000,3.717,-27.083,0.000,0.,0.,0.,0.,0.,0.
3.500,-6.000,0.000,3.180,-27.081,0.000,0.,0.,0.,0.,0.,0.
3.500,-5.000,0.000,2.646,-27.080,0.000,0.,0.,0.,0.,0.,0.
3.500,-4.000,0.000,2.114,-27.079,0.000,0.,0.,0.,0.,0.,0.
3.500,-3.000,0.000,1.584,-27.079,0.000,0.,0.,0.,0.,0.,0.
3.500,-2.000,0.000,1.055,-27.078,0.000,0.,0.,0.,0.,0.,0.
3.500,-1.000,0.000,0.527,-27.078,0.000,0.,0.,0.,0.,0.,0.
3.500,0.000,0.000,0.000,-27.078,0.000,0.,0.,0.,0.,0.,0.
3.500,1.000,0.000,-0.527,-27.078,0.000,0.,0.,0.,0.,0.,0.
3.500,2.000,0.000,-1.055,-27.078,0.000,0.,0.,0.,0.,0.,0.
3.500,3.000,0.000,-1.584,-27.079,0.000,0.,0.,0.,0.,0.,0.
3.500,4.000,0.000,-2.114,-27.079,0.000,0.,0.,0.,0.,0.,0.
3.500,5.000,0.000,-2.646,-27.080,0.000,0.,0.,0.,0.,0.,0.
3.500,6.000,0.000,-3.180,-27.081,0.000,0.,0.,0.,0.,0.,0.
3.500,7.000,0.000,-3.717,-27.083,0.000,0.,0.,0.,0.,0.,0.
3.500,8.000,0.000,-4.256,-27.084,0.000,0.,0.,0.,0.,0.,0.
3.500,9.000,0.000,-4.800,-27.086,0.000,0.,0.,0.,0.,0.,0.
3.500,10.000,0.000,-5.347,-27.088,0.000,0.,0.,0.,0.,0.,0.
3.500,11.000,0.000,-5.899,-27.090,0.000,0.,0.,0.,0.,0.,0.
3.500,12.000,0.000,-6.455,-27.092,0.000,0.,0.,0.,0.,0.,0.
4.500,-12.000,0.000,6.446,-26.530,0.000,0.,0.,0.,0.,0.,0.
4.500,-11.000,0.000,5.890,-26.527,0.000,0.,0.,0.,0.,0.,0.
4.500,-10.000,0.000,5.339,-26.525,0.000,0.,0.,0.,0.,0.,0.
4.500,-9.000,0.000,4.793,-26.522,0.000,0.,0.,0.,0.,0.,0.
4.500,-8.000,0.000,4.250,-26.520,0.000,0.,0.,0.,0.,0.,0.
4.500,-7.000,0.000,3.711,-26.518,0.000,0.,0.,0.,0.,0.,0.
4.500,-6.000,0.000,3.175,-26.516,0.000,0.,0.,0.,0.,0.,0.
4.500,-5.000,0.000,2.642,-26.515,0.000,0.,0.,0.,0.,0.,0.
4.500,-4.000,0.000,2.111,-26.514,0.000,0.,0.,0.,0.,0.,0.
4.500,-3.000,0.000,1.582,-26.513,0.000,0.,0.,0.,0.,0.,0.
4.500,-2.000,0.000,1.054,-26.512,0.000,0.,0.,0.,0.,0.,0.
4.500,-1.000,0.000,0.527,-26.512,0.000,0.,0.,0.,0.,0.,0.
4.500,0.000,0.000,0.000,-26.512,0.000,0.,0.,0.,0.,0.,0.
4.500,1.000,0.000,-0.527,-26.512,0.000,0.,0.,0.,0.,0.,0.
4.500,2.000,0.000,-1.054,-26.512,0.000,0.,0.,0.,0.,0.,0.
4.500,3.000,0.000,-1.582,-26.513,0.000,0.,0.,0.,0.,0.,0.
4.500,4.000,0.000,-2.111,-26.514,0.000,0.,0.,0.,0.,0.,0.
4.500,5.000,0.000,-2.642,-26.515,0.000,0.,0.,0.,0.,0.,0.
4.500,6.000,0.000,-3.175,-26.516,0.000,0.,0.,0.,0.,0.,0.
4.500,7.000,0.000,-3.711,-26.518,0.000,0.,0.,0.,0.,0.,0.
4.500,8.000,0.000,-4.250,-26.520,0.000,0.,0.,0.,0.,0.,0.
4.500,9.000,0.000,-4.793,-26.522,0.000,0.,0.,0.,0.,0.,0.
4.500,10.000,0.000,-5.339,-26.525,0.000,0.,0.,0.,0.,0.,0.
4.500,11.000,0.000,-5.890,-26.527,0.000,0.,0.,0.,0.,0.,0.
4.500,12.000,0.000,-6.446,-26.530,0.000,0.,0.,0.,0.,0.,0.
5.500,-12.000,0.000,6.434,-25.969,0.000,0.,0.,0.,0.,0.,0.
5.500,-11.000,0.000,5.880,-25.966,0.000,0.,0.,0.,0.,0.,0.
5.500,-10.000,0.000,5.330,-25.962,0.000,0.,0.,0.,0.,0.,0.
5.500,-9.000,0.000,4.784,-25.959,0.000,0.,0.,0.,0.,0.,0.
5.500,-8.000,0.000,4.242,-25.957,0.000,0.,0.,0.,0.,0.,0.
5.500,-7.000,0.000,3.704,-25.954,0.000,0.,0.,0.,0.,0.,0.
5.500,-6.000,0.000,3.169,-25.952,0.000,0.,0.,0.,0.,0.,0.
5.500,-5.000,0.000,2.637,-25.951,0.000,0.,0.,0.,0.,0.,0.
5.500,-4.000,0.000,2.107,-25.949,0.000,0.,0.,0.,0.,0.,0.
5.500,-3.000,0.000,1.579,-25.948,0.000,0.,0.,0.,0.,0.,0.
5.500,-2.000,0.000,1.052,-25.947,0.000,0.,0.,0.,0.,0.,0.
5.500,-1.000,0.000,0.526,-25.947,0.000,0.,0.,0.,0.,0.,0.
5.500,0.000,0.000,0.000,-25.947,0.000,0.,0.,0.,0.,0.,0.
5.500,1.000,0.000,-0.526,-25.947,0.000,0.,0.,0.,0.,0.,0.
5.500,2.000,0.000,-1.052,-25.947,0.000,0.,0.,0.,0.,0.,0.
5.500,3.000,0.000,-1.579,-25.948,0.000,0.,0.,0.,0.,0.,0.
5.500,4.000,0.000,-2.107,-25.949,0.000,0.,0.,0.,0.,0.,0.
5.500,5.000,0.000,-2.637,-25.951,0.000,0.,0.,0.,0.,0.,0.
5.500,6.000,0.000,-3.169,-25.952,0.000,0.,0.,0.,0.,0.,0.
5.500,7.000,0.000,-3.704,-25.954,0.000,0.,0.,0.,0.,0.,0.
5.500,8.000,0.000,-4.242,-25.957,0.000,0.,0.,0.,0.,0.,0.
5.500,9.000,0.000,-4.784,-25.959,0.000,0.,0.,0.,0.,0.,0.
5.500,10.000,0.000,-5.330,-25.962,0.000,0.,0.,0.,0.,0.,0.
5.500,11.000,0.000,-5.880,-25.966,0.000,0.,0.,0.,0.,0.,0.
5.500,12.000,0.000,-6.434,-25.969,0.000,0.,0.,0.,0.,0.,0.
6.500,-12.000,0.000,6.421,-25.409,0.000,0.,0.,0.,0.,0.,0.
6.500,-11.000,0.000,5.867,-25.405,0.000,0.,0.,0.,0.,0.,0.
6.500,-10.000,0.000,5.318,-25.401,0.000,0.,0.,0.,0.,0.,0.
6.500,-9.000,0.000,4.774,-25.398,0.000,0.,0.,0.,0.,0.,0.
6.500,-8.000,0.000,4.233,-25.395,0.000,0.,0.,0.,0.,0.,0.
6.500,-7.000,0.000,3.696,-25.392,0.000,0.,0.,0.,0.,0.,0.
6.500,-6.000,0.000,3.163,-25.389,0.000,0.,0.,0.,0.,0.,0.
6.500,-5.000,0.000,2.631,-25.387,0.000,0.,0.,0.,0.,0.,0.
6.500,-4.000,0.000,2.102,-25.386,0.000,0.,0.,0.,0.,0.,0.
6.500,-3.000,0.000,1.575,-25.384,0.000,0.,0.,0.,0.,0.,0.
6.500,-2.000,0.000,1.049,-25.383,0.000,0.,0.,0.,0.,0.,0.
6.500,-1.000,0.000,0.525,-25.383,0.000,0.,0.,0.,0.,0.,0.
6.500,0.000,0.000,0.000,-25.383,0.000,0.,0.,0.,0.,0.,0.
6.500,1.000,0.000,-0.525,-25.383,0.000,0.,0.,0.,0.,0.,0.
6.500,2.000,0.000,-1.049,-25.383,0.000,0.,0.,0.,0.,0.,0.
6.500,3.000,0.000,-1.575,-25.384,0.000,0.,0.,0.,0.,0.,0.
6.500,4.000,0.000,-2.102,-25.386,0.000,0.,0.,0.,0.,0.,0.
6.500,5.000,0.000,-2.631,-25.387,0.000,0.,0.,0.,0.,0.,0.
6.500,6.000,0.000,-3.163,-25.389,0.000,0.,0.,0.,0.,0.,0.
6.500,7.000,0.000,-3.696,-25.392,0.000,0.,0.,0.,0.,0.,0.
6.500,8.000,0.000,-4.233,-25.395,0.000,0.,0.,0.,0.,0.,0.
6.500,9.000,0.000,-4.774,-25.398,0.000,0.,0.,0.,0.,0.,0.
6.500,10.000,0.000,-5.318,-25.401,0.000,0.,0.,0.,0.,0.,0.
6.500,11.000,0.000,-5.867,-25.405,0.000,0.,0.,0.,0.,0.,0.
6.500,12.000,0.000,-6.421,-25.409,0.000,0.,0.,0.,0.,0.,0.
7.500,-12.000,0.000,6.404,-24.851,0.000,0.,0.,0.,0.,0.,0.
7.500,-11.000,0.000,5.852,-24.846,0.000,0.,0.,0.,0.,0.,0.
7.500,-10.000,0.000,5.305,-24.841,0.000,0.,0.,0.,0.,0.,0.
7.500,-9.000,0.000,4.762,-24.837,0.000,0.,0.,0.,0.,0.,0.
7.500,-8.000,0.000,4.222,-24.834,0.000,0.,0.,0.,0.,0.,0.
7.500,-7.000,0.000,3.687,-24.830,0.000,0.,0.,0.,0.,0.,0.
7.500,-6.000,0.000,3.154,-24.828,0.000,0.,0.,0.,0.,0.,0.
7.500,-5.000,0.000,2.625,-24.825,0.000,0.,0.,0.,0.,0.,0.
7.500,-4.000,0.000,2.097,-24.823,0.000,0.,0.,0.,0.,0.,0.
7.500,-3.000,0.000,1.571,-24.822,0.000,0.,0.,0.,0.,0.,0.
7.500,-2.000,0.000,1.047,-24.821,0.000,0.,0.,0.,0.,0.,0.
7.500,-1.000,0.000,0.523,-24.820,0.000,0.,0.,0.,0.,0.,0.
7.500,0.000,0.000,0.000,-24.820,0.000,0.,0.,0.,0.,0.,0.
7.500,1.000,0.000,-0.523,-24.820,0.000,0.,0.,0.,0.,0.,0.
7.500,2.000,0.000,-1.047,-24.821,0.000,0.,0.,0.,0.,0.,0.
7.500,3.000,0.000,-1.571,-24.822,0.000,0.,0.,0.,0.,0.,0.
7.500,4.000,0.000,-2.097,-24.823,0.000,0.,0.,0.,0.,0.,0.
