x,y,z,u,v,z,0.,0.,0.,0.,0.,0.
-24.00,-36.50,0.00,0.072,-0.365,0.00,0.,0.,0.,0.,0.,0.
-24.00,-35.50,0.00,0.072,-0.355,0.00,0.,0.,0.,0.,0.,0.
-24.00,-34.50,0.00,0.072,-0.345,0.00,0.,0.,0.,0.,0.,0.
-24.00,-33.50,0.00,0.072,-0.335,0.00,0.,0.,0.,0.,0.,0.
-24.00,-32.50,0.00,0.072,-0.325,0.00,0.,0.,0.,0.,0.,0.
-24.00,-31.50,0.00,0.072,-0.315,0.00,0.,0.,0.,0.,0.,0.
-24.00,-30.50,0.00,0.072,-0.305,0.00,0.,0.,0.,0.,0.,0.
-24.00,-29.50,0.00,0.072,-0.295,0.00,0.,0.,0.,0.,0.,0.
-24.00,-28.50,0.00,0.072,-0.285,0.00,0.,0.,0.,0.,0.,0.
-24.00,-27.50,0.00,0.072,-0.275,0.00,0.,0.,0.,0.,0.,0.
-24.00,-26.50,0.00,0.072,-0.265,0.00,0.,0.,0.,0.,0.,0.
-24.00,-25.50,0.00,0.072,-0.255,0.00,0.,0.,0.,0.,0.,0.
-24.00,-24.50,0.00,0.072,-0.245,0.00,0.,0.,0.,0.,0.,0.
-24.00,-23.50,0.00,0.072,-0.235,0.00,0.,0.,0.,0.,0.,0.
-24.00,-22.50,0.00,0.072,-0.225,0.00,0.,0.,0.,0.,0.,0.
-24.00,-21.50,0.00,0.072,-0.215,0.00,0.,0.,0.,0.,0.,0.
-24.00,-20.50,0.00,0.072,-0.205,0.00,0.,0.,0.,0.,0.,0.
-24.00,-19.50,0.00,0.072,-0.195,0.00,0.,0.,0.,0.,0.,0.
-24.00,-18.50,0.00,0.072,-0.185,0.00,0.,0.,0.,0.,0.,0.
-24.00,-17.50,0.00,0.072,-0.175,0.00,0.,0.,0.,0.,0.,0.
-24.00,-16.50,0.00,0.072,-0.165,0.00,0.,0.,0.,0.,0.,0.
-24.00,-15.50,0.00,0.072,-0.155,0.00,0.,0.,0.,0.,0.,0.
-24.00,-14.50,0.00,0.072,-0.145,0.00,0.,0.,0.,0.,0.,0.
-24.00,-13.50,0.00,0.072,-0.135,0.00,0.,0.,0.,0.,0.,0.
-24.00,-12.50,0.00,0.072,-0.125,0.00,0.,0.,0.,0.,0.,0.
-24.00,-11.50,0.00,0.072,-0.115,0.00,0.,0.,0.,0.,0.,0.
-24.00,-10.50,0.00,0.072,-0.105,0.00,0.,0.,0.,0.,0.,0.
-24.00,-9.50,0.00,0.072,-0.095,0.00,0.,0.,0.,0.,0.,0.
-24.00,-8.50,0.00,0.072,-0.085,0.00,0.,0.,0.,0.,0.,0.
-24.00,-7.50,0.00,0.072,-0.075,0.00,0.,0.,0.,0.,0.,0.
-24.00,-6.50,0.00,0.072,-0.065,0.00,0.,0.,0.,0.,0.,0.
-24.00,-5.50,0.00,0.072,-0.055,0.00,0.,0.,0.,0.,0.,0.
-24.00,-4.50,0.00,0.072,-0.045,0.00,0.,0.,0.,0.,0.,0.
-24.00,-3.50,0.00,0.072,-0.035,0.00,0.,0.,0.,0.,0.,0.
-24.00,-2.50,0.00,0.072,-0.025,0.00,0.,0.,0.,0.,0.,0.
-24.00,-1.50,0.00,0.072,-0.015,0.00,0.,0.,0.,0.,0.,0.
-24.00,-0.50,0.00,0.072,-0.005,0.00,0.,0.,0.,0.,0.,0.
-24.00,0.50,0.00,0.072,0.005,0.00,0.,0.,0.,0.,0.,0.
-24.00,1.50,0.00,0.072,0.015,0.00,0.,0.,0.,0.,0.,0.
-24.00,2.50,0.00,0.072,0.025,0.00,0.,0.,0.,0.,0.,0.
-24.00,3.50,0.00,0.072,0.035,0.00,0.,0.,0.,0.,0.,0.
-24.00,4.50,0.00,0.072,0.045,0.00,0.,0.,0.,0.,0.,0.
-24.00,5.50,0.00,0.072,0.055,0.00,0.,0.,0.,0.,0.,0.
