#id,x,y,z,u,v,w
0,-24.000,-11.500,0.000,0.000,0.000,0.000
1,-24.000,-10.500,0.000,0.000,0.000,0.000
2,-24.000,-9.500,0.000,0.000,0.000,0.000
3,-24.000,-8.500,0.000,0.000,0.000,0.000
4,-24.000,-7.500,0.000,0.000,0.000,0.000
5,-24.000,-6.500,0.000,0.000,0.000,0.000
6,-24.000,-5.500,0.000,0.500,0.000,0.000
7,-24.000,-4.500,0.000,1.500,0.000,0.000
8,-24.000,-3.500,0.000,2.500,0.000,0.000
9,-24.000,-2.500,0.000,3.500,0.000,0.000
10,-24.000,-1.500,0.000,4.500,0.000,0.000
11,-24.000,-0.500,0.000,5.500,0.000,0.000
12,-24.000,0.500,0.000,6.500,0.000,0.000
13,-24.000,1.500,0.000,7.500,0.000,0.000
14,-24.000,2.500,0.000,8.500,0.000,0.000
15,-24.000,3.500,0.000,9.500,0.000,0.000
16,-24.000,4.500,0.000,10.500,0.000,0.000
17,-24.000,5.500,0.000,11.500,0.000,0.000
18,-24.000,6.500,0.000,12.500,0.000,0.000
19,-24.000,7.500,0.000,13.500,0.000,0.000
20,-24.000,8.500,0.000,14.500,0.000,0.000
21,-24.000,9.500,0.000,15.500,0.000,0.000
22,-24.000,10.500,0.000,16.500,0.000,0.000
23,-24.000,11.500,0.000,17.500,0.000,0.000
24,-24.000,12.500,0.000,18.500,0.000,0.000
25,-24.000,13.500,0.000,19.500,0.000,0.000
26,-24.000,14.500,0.000,20.500,0.000,0.000
27,-24.000,15.500,0.000,21.500,0.000,0.000
28,-24.000,16.500,0.000,22.500,0.000,0.000
29,-24.000,17.500,0.000,23.500,0.000,0.000
30,-24.000,18.500,0.000,24.500,0.000,0.000
31,-24.000,19.500,0.000,25.500,0.000,0.000
32,-24.000,20.500,0.000,26.500,0.000,0.000
33,-24.000,21.500,0.000,27.500,0.000,0.000
34,-24.000,22.500,0.000,28.500,0.000,0.000
35,-24.000,23.500,0.000,29.500,0.000,0.000
36,-24.000,24.500,0.000,30.500,0.000,0.000
37,-24.000,25.500,0.000,31.500,0.000,0.000
38,-24.000,26.500,0.000,32.500,0.000,0.000
39,-24.000,27.500,0.000,33.500,0.000,0.000
40,-24.000,28.500,0.000,34.500,0.000,0.000
41,-24.000,29.500,0.000,35.500,0.000,0.000
42,-24.000,30.500,0.000,36.500,0.000,0.000
43,-24.000,31.500,0.000,37.500,0.000,0.000
44,-24.000,32.500,0.000,38.500,0.000,0.000
45,-24.000,33.500,0.000,39.500,0.000,0.000
46,-24.000,34.500,0.000,40.500,0.000,0.000
47,-24.000,35.500,0.000,41.500,0.000,0.000
48,-24.000,36.500,0.000,42.500,0.000,0.000
49,-24.000,37.500,0.000,43.500,0.000,0.000
50,-24.000,38.500,0.000,44.500,0.000,0.000
51,-24.000,39.500,0.000,45.500,0.000,0.000
52,-24.000,40.500,0.000,46.500,0.000,0.000
53,-24.000,41.500,0.000,47.500,0.000,0.000
54,-24.000,42.500,0.000,48.500,0.000,0.000
55,-24.000,43.500,0.000,49.500,0.000,0.000
56,-24.000,44.500,0.000,50.500,0.000,0.000
57,-24.000,45.500,0.000,51.500,0.000,0.000
58,-24.000,46.500,0.000,52.500,0.000,0.000
59,-24.000,47.500,0.000,53.500,0.000,0.000
60,-24.000,48.500,0.000,54.500,0.000,0.000
61,-24.000,49.500,0.000,55.500,0.000,0.000
62,-24.000,50.500,0.000,56.500,0.000,0.000
63,-24.000,51.500,0.000,57.500,0.000,0.000
64,-24.000,52.500,0.000,58.500,0.000,0.000
65,-24.000,53.500,0.000,59.500,0.000,0.000
66,-24.000,54.500,0.000,60.500,0.000,0.000
67,-24.000,55.500,0.000,61.500,0.000,0.000
68,-24.000,56.500,0.000,62.500,0.000,0.000
69,-24.000,57.500,0.000,63.500,0.000,0.000
70,-24.000,58.500,0.000,64.500,0.000,0.000
71,-24.000,59.500,0.000,65.500,0.000,0.000
72,-24.000,60.500,0.000,66.500,0.000,0.000
73,-24.000,61.500,0.000,67.500,0.000,0.000
74,-23.000,-11.500,0.000,0.000,0.000,0.000
75,-23.000,-10.500,0.000,0.000,0.000,0.000
76,-23.000,-9.500,0.000,0.000,0.000,0.000
77,-23.000,-8.500,0.000,0.000,0.000,0.000
78,-23.000,-7.500,0.000,0.000,0.000,0.000
79,-23.000,-6.500,0.000,0.000,0.000,0.000
80,-23.000,-5.500,0.000,0.500,0.000,0.000
81,-23.000,-4.500,0.000,1.500,0.000,0.000
82,-23.000,-3.500,0.000,2.500,0.000,0.000
83,-23.000,-2.500,0.000,3.500,0.000,0.000
84,-23.000,-1.500,0.000,4.500,0.000,0.000
85,-23.000,-0.500,0.000,5.500,0.000,0.000
86,-23.000,0.500,0.000,6.500,0.000,0.000
87,-23.000,1.500,0.000,7.500,0.000,0.000
88,-23.000,2.500,0.000,8.500,0.000,0.000
89,-23.000,3.500,0.000,9.500,0.000,0.000
90,-23.000,4.500,0.000,10.500,0.000,0.000
91,-23.000,5.500,0.000,11.500,0.000,0.000
92,-23.000,6.500,0.000,12.500,0.000,0.000
93,-23.000,7.500,0.000,13.500,0.000,0.000
94,-23.000,8.500,0.000,14.500,0.000,0.000
95,-23.000,9.500,0.000,15.500,0.000,0.000
96,-23.000,10.500,0.000,16.500,0.000,0.000
97,-23.000,11.500,0.000,17.500,0.000,0.000
98,-23.000,12.500,0.000,18.500,0.000,0.000
99,-23.000,13.500,0.000,19.500,0.000,0.000
100,-23.000,14.500,0.000,20.500,0.000,0.000
101,-23.000,15.500,0.000,21.500,0.000,0.000
102,-23.000,16.500,0.000,22.500,0.000,0.000
103,-23.000,17.500,0.000,23.500,0.000,0.000
104,-23.000,18.500,0.000,24.500,0.000,0.000
105,-23.000,19.500,0.000,25.500,0.000,0.000
106,-23.000,20.500,0.000,26.500,0.000,0.000
107,-23.000,21.500,0.000,27.500,0.000,0.000
108,-23.000,22.500,0.000,28.500,0.000,0.000
109,-23.000,23.500,0.000,29.500,0.000,0.000
110,-23.000,24.500,0.000,30.500,0.000,0.000
111,-23.000,25.500,0.000,31.500,0.000,0.000
112,-23.000,26.500,0.000,32.500,0.000,0.000
113,-23.000,27.500,0.000,33.500,0.000,0.000
114,-23.000,28.500,0.000,34.500,0.000,0.000
115,-23.000,29.500,0.000,35.500,0.000,0.000
116,-23.000,30.500,0.000,36.500,0.000,0.000
117,-23.000,31.500,0.000,37.500,0.000,0.000
118,-23.000,32.500,0.000,38.500,0.000,0.000
119,-23.000,33.500,0.000,39.500,0.000,0.000
120,-23.000,34.500,0.000,40.500,0.000,0.000
121,-23.000,35.500,0.000,41.500,0.000,0.000
122,-23.000,36.500,0.000,42.500,0.000,0.000
123,-23.000,37.500,0.000,43.500,0.000,0.000
124,-23.000,38.500,0.000,44.500,0.000,0.000
125,-23.000,39.500,0.000,45.500,0.000,0.000
126,-23.000,40.500,0.000,46.500,0.000,0.000
127,-23.000,41.500,0.000,47.500,0.000,0.000
128,-23.000,42.500,0.000,48.500,0.000,0.000
129,-23.000,43.500,0.000,49.500,0.000,0.000
130,-23.000,44.500,0.000,50.500,0.000,0.000
131,-23.000,45.500,0.000,51.500,0.000,0.000
132,-23.000,46.500,0.000,52.500,0.000,0.000
133,-23.000,47.500,0.000,53.500,0.000,0.000
134,-23.000,48.500,0.000,54.500,0.000,0.000
135,-23.000,49.500,0.000,55.500,0.000,0.000
136,-23.000,50.500,0.000,56.500,0.000,0.000
137,-23.000,51.500,0.000,57.500,0.000,0.000
138,-23.000,52.500,0.000,58.500,0.000,0.000
139,-23.000,53.500,0.000,59.500,0.000,0.000
140,-23.000,54.500,0.000,60.500,0.000,0.000
141,-23.000,55.500,0.000,61.500,0.000,0.000
142,-23.000,56.500,0.000,62.500,0.000,0.000
143,-23.000,57.500,0.000,63.500,0.000,0.000
144,-23.000,58.500,0.000,64.500,0.000,0.000
145,-23.000,59.500,0.000,65.500,0.000,0.000
146,-23.000,60.500,0.000,66.500,0.000,0.000
147,-23.000,61.500,0.000,67.500,0.000,0.000
148,-22.000,-11.500,0.000,0.000,0.000,0.000
149,-22.000,-10.500,0.000,0.000,0.000,0.000
150,-22.000,-9.500,0.000,0.000,0.000,0.000
151,-22.000,-8.500,0.000,0.000,0.000,0.000
152,-22.000,-7.500,0.000,0.000,0.000,0.000
153,-22.000,-6.500,0.000,0.000,0.000,0.000
154,-22.000,-5.500,0.000,0.500,0.000,0.000
155,-22.000,-4.500,0.000,1.500,0.000,0.000
156,-22.000,-3.500,0.000,2.500,0.000,0.000
157,-22.000,-2.500,0.000,3.500,0.000,0.000
158,-22.000,-1.500,0.000,4.500,0.000,0.000
159,-22.000,-0.500,0.000,5.500,0.000,0.000
160,-22.000,0.500,0.000,6.500,0.000,0.000
161,-22.000,1.500,0.000,7.500,0.000,0.000
162,-22.000,2.500,0.000,8.500,0.000,0.000
163,-22.000,3.500,0.000,9.500,0.000,0.000
164,-22.000,4.500,0.000,10.500,0.000,0.000
165,-22.000,5.500,0.000,11.500,0.000,0.000
166,-22.000,6.500,0.000,12.500,0.000,0.000
167,-22.000,7.500,0.000,13.500,0.000,0.000
168,-22.000,8.500,0.000,14.500,0.000,0.000
169,-22.000,9.500,0.000,15.500,0.000,0.000
170,-22.000,10.500,0.000,16.500,0.000,0.000
171,-22.000,11.500,0.000,17.500,0.000,0.000
172,-22.000,12.500,0.000,18.500,0.000,0.000
173,-22.000,13.500,0.000,19.500,0.000,0.000
174,-22.000,14.500,0.000,20.500,0.000,0.000
175,-22.000,15.500,0.000,21.500,0.000,0.000
176,-22.000,16.500,0.000,22.500,0.000,0.000
177,-22.000,17.500,0.000,23.500,0.000,0.000
178,-22.000,18.500,0.000,24.500,0.000,0.000
179,-22.000,19.500,0.000,25.500,0.000,0.000
180,-22.000,20.500,0.000,26.500,0.000,0.000
181,-22.000,21.500,0.000,27.500,0.000,0.000
182,-22.000,22.500,0.000,28.500,0.000,0.000
183,-22.000,23.500,0.000,29.500,0.000,0.000
184,-22.000,24.500,0.000,30.500,0.000,0.000
185,-22.000,25.500,0.000,31.500,0.000,0.000
186,-22.000,26.500,0.000,32.500,0.000,0.000
187,-22.000,27.500,0.000,33.500,0.000,0.000
188,-22.000,28.500,0.000,34.500,0.000,0.000
189,-22.000,29.500,0.000,35.500,0.000,0.000
190,-22.000,30.500,0.000,36.500,0.000,0.000
191,-22.000,31.500,0.000,37.500,0.000,0.000
192,-22.000,32.500,0.000,38.500,0.000,0.000
193,-22.000,33.500,0.000,39.500,0.000,0.000
194,-22.000,34.500,0.000,40.500,0.000,0.000
195,-22.000,35.500,0.000,41.500,0.000,0.000
196,-22.000,36.500,0.000,42.500,0.000,0.000
197,-22.000,37.500,0.000,43.500,0.000,0.000
198,-22.000,38.500,0.000,44.500,0.000,0.000
199,-22.000,39.500,0.000,45.500,0.000,0.000
200,-22.000,40.500,0.000,46.500,0.000,0.000
201,-22.000,41.500,0.000,47.500,0.000,0.000
202,-22.000,42.500,0.000,48.500,0.000,0.000
203,-22.000,43.500,0.000,49.500,0.000,0.000
204,-22.000,44.500,0.000,50.500,0.000,0.000
205,-22.000,45.500,0.000,51.500,0.000,0.000
206,-22.000,46.500,0.000,52.500,0.000,0.000
207,-22.000,47.500,0.000,53.500,0.000,0.000
208,-22.000,48.500,0.000,54.500,0.000,0.000
209,-22.000,49.500,0.000,55.500,0.000,0.000
210,-22.000,50.500,0.000,56.500,0.000,0.000
211,-22.000,51.500,0.000,57.500,0.000,0.000
212,-22.000,52.500,0.000,58.500,0.000,0.000
213,-22.000,53.500,0.000,59.500,0.000,0.000
214,-22.000,54.500,0.000,60.500,0.000,0.000
215,-22.000,55.500,0.000,61.500,0.000,0.000
216,-22.000,56.500,0.000,62.500,0.000,0.000
217,-22.000,57.500,0.000,63.500,0.000,0.000
218,-22.000,58.500,0.000,64.500,0.000,0.000
219,-22.000,59.500,0.000,65.500,0.000,0.000
220,-22.000,60.500,0.000,66.500,0.000,0.000
221,-22.000,61.500,0.000,67.500,0.000,0.000
222,-21.000,-11.500,0.000,0.000,0.000,0.000
223,-21.000,-10.500,0.000,0.000,0.000,0.000
224,-21.000,-9.500,0.000,0.000,0.000,0.000
225,-21.000,-8.500,0.000,0.000,0.000,0.000
226,-21.000,-7.500,0.000,0.000,0.000,0.000
227,-21.000,-6.500,0.000,0.000,0.000,0.000
228,-21.000,-5.500,0.000,0.500,0.000,0.000
229,-21.000,-4.500,0.000,1.500,0.000,0.000
