#id,x,y,z,u,v,z
0,-24.00,-36.50,0.00,0.000,0.000,0.00
1,-24.00,-35.50,0.00,0.000,0.000,0.00
2,-24.00,-34.50,0.00,0.000,0.000,0.00
3,-24.00,-33.50,0.00,0.000,0.000,0.00
4,-24.00,-32.50,0.00,0.000,0.000,0.00
5,-24.00,-31.50,0.00,0.000,0.000,0.00
6,-24.00,-30.50,0.00,0.000,0.000,0.00
7,-24.00,-29.50,0.00,0.000,0.000,0.00
8,-24.00,-28.50,0.00,0.000,0.000,0.00
9,-24.00,-27.50,0.00,0.000,0.000,0.00
10,-24.00,-26.50,0.00,0.000,0.000,0.00
11,-24.00,-25.50,0.00,0.000,0.000,0.00
12,-24.00,-24.50,0.00,0.000,0.000,0.00
13,-24.00,-23.50,0.00,0.000,0.000,0.00
14,-24.00,-22.50,0.00,0.000,0.000,0.00
15,-24.00,-21.50,0.00,0.000,0.000,0.00
16,-24.00,-20.50,0.00,0.000,0.000,0.00
17,-24.00,-19.50,0.00,0.000,0.000,0.00
18,-24.00,-18.50,0.00,0.000,0.000,0.00
19,-24.00,-17.50,0.00,0.000,0.000,0.00
20,-24.00,-16.50,0.00,0.000,0.000,0.00
21,-24.00,-15.50,0.00,0.000,0.000,0.00
22,-24.00,-14.50,0.00,0.000,0.000,0.00
23,-24.00,-13.50,0.00,0.000,0.000,0.00
24,-24.00,-12.50,0.00,0.000,0.000,0.00
25,-24.00,-11.50,0.00,0.000,0.000,0.00
26,-24.00,-10.50,0.00,0.000,0.000,0.00
27,-24.00,-9.50,0.00,0.000,0.000,0.00
28,-24.00,-8.50,0.00,0.000,0.000,0.00
29,-24.00,-7.50,0.00,0.000,0.000,0.00
30,-24.00,-6.50,0.00,0.000,0.000,0.00
31,-24.00,-5.50,0.00,0.000,0.000,0.00
32,-24.00,-4.50,0.00,0.000,0.000,0.00
33,-24.00,-3.50,0.00,0.000,0.000,0.00
34,-24.00,-2.50,0.00,0.000,0.000,0.00
35,-24.00,-1.50,0.00,0.000,0.000,0.00
36,-24.00,-0.50,0.00,0.000,0.000,0.00
37,-24.00,0.50,0.00,0.000,0.000,0.00
38,-24.00,1.50,0.00,0.000,0.000,0.00
39,-24.00,2.50,0.00,0.000,0.000,0.00
40,-24.00,3.50,0.00,0.000,0.000,0.00
41,-24.00,4.50,0.00,0.000,0.000,0.00
42,-24.00,5.50,0.00,0.000,0.000,0.00
43,-24.00,6.50,0.00,0.000,0.000,0.00
44,-24.00,7.50,0.00,0.000,0.000,0.00
45,-24.00,8.50,0.00,0.000,0.000,0.00
46,-24.00,9.50,0.00,0.000,0.000,0.00
47,-24.00,10.50,0.00,0.000,0.000,0.00
48,-24.00,11.50,0.00,0.000,0.000,0.00
49,-24.00,12.50,0.00,0.000,0.000,0.00
50,-24.00,13.50,0.00,0.000,0.000,0.00
51,-24.00,14.50,0.00,0.000,0.000,0.00
52,-24.00,15.50,0.00,0.000,0.000,0.00
53,-24.00,16.50,0.00,0.000,0.000,0.00
54,-24.00,17.50,0.00,0.000,0.000,0.00
55,-24.00,18.50,0.00,0.000,0.000,0.00
56,-24.00,19.50,0.00,0.000,0.000,0.00
57,-24.00,20.50,0.00,0.000,0.000,0.00
58,-24.00,21.50,0.00,0.000,0.000,0.00
59,-24.00,22.50,0.00,0.000,0.000,0.00
60,-24.00,23.50,0.00,0.000,0.000,0.00
61,-24.00,24.50,0.00,0.000,0.000,0.00
62,-24.00,25.50,0.00,0.000,0.000,0.00
63,-24.00,26.50,0.00,0.000,0.000,0.00
64,-24.00,27.50,0.00,0.000,0.000,0.00
65,-24.00,28.50,0.00,0.000,0.000,0.00
66,-24.00,29.50,0.00,0.000,0.000,0.00
